product_update_id;update_date;product_id;description;update_type_id;creation_date;ts
470;2005-11-15 00:00:00;25;Xsan 1.2 available for download;3;2005-11-15 00:00:00;2008-07-26 03:41:44
471;2005-10-20 00:00:00;18;Final Cut Express HD 3.0.1 update available;4;2005-10-20 00:00:00;2008-07-26 03:41:44
472;2006-02-03 00:00:00;19;Logic Express 7.2 - universal binary;3;2006-02-03 00:00:00;2008-07-26 03:41:44
473;2006-04-11 00:00:00;39;ARD 3 announced - universal binary, 50+ new features;2;2006-04-11 00:00:00;2008-07-26 03:41:44
474;2006-04-13 00:00:00;44;Aperture 1.1 announced - now US$299, universal binary, better RAW handling;3;2006-04-13 00:00:00;2008-07-26 03:41:44
475;2006-04-18 00:00:00;1;Java 2 Standard Edition (J2SE) 5.0 Release 4 - 10.4.5 and later (39.3MB);4;2006-04-18 00:00:00;2008-07-26 03:41:44
476;2006-04-24 00:00:00;34;MacBook Pro 17" introduced, 2.16GHz US$2799 (17" PowerBook no longer available);2;2006-04-24 00:00:00;2008-07-26 03:41:44
477;2006-04-24 00:00:00;14;GarageBand 3.0.2 update available;4;2006-04-24 00:00:00;2008-07-26 03:41:44
478;2006-04-25 00:00:00;25;Xsan 1.3 available for download;3;2006-04-25 00:00:00;2008-07-26 03:41:44
479;2006-04-26 00:00:00;17;Keynote 3.0.1 update available for download;4;2006-04-26 00:00:00;2008-07-26 03:41:44
480;2006-04-26 00:00:00;16;Pages 2.0.1 update available for download;4;2006-04-26 00:00:00;2008-07-26 03:41:44
481;2006-05-02 00:00:00;17;Keynote 3.0.1v2 update available for download;4;2006-05-02 00:00:00;2008-07-26 03:41:44
482;2006-05-02 00:00:00;16;Pages 2.0.1v2 update available for download;4;2006-05-02 00:00:00;2008-07-26 03:41:44
483;2006-05-04 00:00:00;44;Aperture 1.1.1 update available for download;4;2006-05-04 00:00:00;2008-07-26 03:41:44
485;2006-05-04 00:00:00;26;Logic Pro 7.2.1 update available for download;4;2006-05-04 00:00:00;2008-07-26 03:41:44
486;2006-05-11 00:00:00;15;QuickTime 7.1 available;3;2006-05-11 00:00:00;2008-07-26 03:41:44
487;2006-05-11 00:00:00;1;Security Update 2006-003 update available for download (10.3/10.4);4;2006-05-11 00:00:00;2008-07-26 03:41:44
488;2006-05-15 00:00:00;13;iDVD 6.0.2 update available;4;2006-05-15 00:00:00;2008-07-26 03:41:44
489;2006-05-15 00:00:00;11;iPhoto 6.0.3 update available;4;2006-05-15 00:00:00;2008-07-26 03:41:44
490;2006-05-15 00:00:00;12;iMovie HD 6.0.2 update available;4;2006-05-15 00:00:00;2008-07-26 03:41:44
491;2006-05-15 00:00:00;45;iWeb 1.1 update available - adds comments and searching to blogs/podcasts;3;2006-05-15 00:00:00;2008-07-26 03:41:44
492;2006-05-16 00:00:00;33;New MacBook replaces iBook - 13.3" glossy screen, Intel Core Duo 1.83GHz(white US$1,099)/2.0GHz(white US$1,299/black US$1,499), inbuilt iSight;2;2006-05-16 00:00:00;2008-07-26 03:41:44
493;2006-05-16 00:00:00;34;MacBook Pro 15.4" 2.0/2.16GHz, 17" 2.16GHz, glossy screen optional.;4;2006-05-16 00:00:00;2008-07-26 03:41:44
494;2006-05-16 00:00:00;34;Powerbook 12" removed from Apple Store;5;2006-05-16 00:00:00;2008-07-26 03:41:44
495;2006-05-18 00:00:00;18;Final Cut Express HD 3.5 universal binary (US$99 upgrade);3;2006-05-18 00:00:00;2008-07-26 03:41:44
496;2006-05-23 00:00:00;43;New Nike+iPod Sport Kit accessory announced;5;2006-05-23 00:00:00;2008-07-26 03:41:44
497;2006-05-23 00:00:00;19;Logic Express 7.2.1 update available;4;2006-05-23 00:00:00;2008-07-26 03:41:44
498;2006-05-26 00:00:00;45;iWeb 1.1.1 update available;4;2006-05-26 00:00:00;2008-07-26 03:41:44
499;2006-05-31 00:00:00;15;QuickTime 7.1.1 update available;4;2006-05-31 00:00:00;2008-07-26 03:41:44
500;2006-06-06 00:00:00;28;iPod U2 special edition reintroduced, based on 30GB 5th gen. (US$329);5;2006-06-06 00:00:00;2008-07-26 03:41:44
501;2006-06-20 00:00:00;11;iPhoto 6.0.4 update available;4;2006-06-20 00:00:00;2008-07-26 03:41:44
502;2006-06-20 00:00:00;24;Shake 4.1 available - universal binary, now US$499;3;2006-06-20 00:00:00;2008-07-26 03:41:44
503;2006-06-21 00:00:00;44;Aperture 1.1.2 update available;4;2006-06-21 00:00:00;2008-07-26 03:41:44
504;2006-06-27 00:00:00;1;10.4.7 update released;3;2006-06-27 00:00:00;2008-07-26 03:41:44
505;2006-06-28 00:00:00;15;QuickTime 7.1.2 update available;4;2006-06-28 00:00:00;2008-07-26 03:41:44
506;2006-06-29 00:00:00;9;iTunes 6.0.5 update available;4;2006-06-29 00:00:00;2008-07-26 03:41:44
507;2006-06-29 00:00:00;28;iPod sofware update 1.1.2 (iPod Updater 2006-06-28);4;2006-06-29 00:00:00;2008-07-26 03:41:44
508;2006-06-29 00:00:00;43;iPod nano sofware update 1.2 (iPod Updater 2006-06-28);4;2006-06-29 00:00:00;2008-07-26 03:41:44
509;2006-06-29 00:00:00;40;iPod shuffle sofware update 1.1.4 (iPod Updater 2006-06-28);4;2006-06-29 00:00:00;2008-07-26 03:41:44
510;2006-07-05 00:00:00;32;eMac officially dead, replaced with education only iMac 17" (US$899);5;2006-07-05 00:00:00;2008-07-26 03:41:44
511;2006-07-05 00:00:00;31;iMac 17" low end education only model introduced (US$899), replaces eMac;4;2006-07-05 00:00:00;2008-07-26 03:41:44
512;2006-06-27 00:00:00;2;Safari 2.0.4 (included in OS10.4.7 update);4;2006-06-27 00:00:00;2008-07-26 03:41:44
513;2006-07-25 00:00:00;27;Mighty Mouse goes wireless, bluetooth and laser tracker US$69;5;2006-07-25 00:00:00;2008-07-26 03:41:44
514;2006-08-01 00:00:00;1;Security Update 2006-004;4;2006-08-01 00:00:00;2008-07-26 03:41:44
515;2006-08-07 00:00:00;1;10.5 demoed at WWDC - shipping spring 2007;5;2006-08-07 00:00:00;2008-07-26 03:41:44
516;2006-08-07 00:00:00;6;Powermac renamed Mac Pro;5;2006-08-07 00:00:00;2008-07-26 03:41:44
517;2006-08-07 00:00:00;6;Mac Pro - Intel Xeon upto 3GHz, dual optical drive, upto 16GB RAM, upto 2TB of storage;2;2006-08-07 00:00:00;2008-07-26 03:41:44
518;2006-08-07 00:00:00;35;Price Cuts: 20" US$699 minor spec update, 23" US$999 minor spec update, 30" US$1999;4;2006-08-07 00:00:00;2008-07-26 03:41:44
519;2006-08-07 00:00:00;36;Xserve now Intel Xeon, upto Two Dual-core 3GHz;2;2006-08-07 00:00:00;2008-07-26 03:41:44
520;2006-08-17 00:00:00;19;Logic Express 7.2.2 update available;4;2006-08-17 00:00:00;2008-07-26 03:41:44
521;2006-08-17 00:00:00;26;Logic Pro 7.2.2 update available;4;2006-08-17 00:00:00;2008-07-26 03:41:44
522;2006-08-17 00:00:00;25;Xsan 1.4 available for download;3;2006-08-17 00:00:00;2008-07-26 03:41:44
523;2006-09-06 00:00:00;31;iMac update Core 2 Duo, new 24" model introduced;3;2006-09-06 00:00:00;2008-07-26 03:41:44
524;2006-09-06 00:00:00;41;Mac mini update all Core Duo, upto 1.83GHz;3;2006-09-06 00:00:00;2008-07-26 03:41:44
525;2006-09-12 00:00:00;40;iPod shuffle All New model (2nd gen), 1GB only US$79;2;2006-09-12 00:00:00;2008-07-26 03:41:44
526;2006-09-12 00:00:00;43;iPod nano 2nd generation, now in colours, 2GB US$149, 4GB US$199, 8GB US$249;2;2006-09-12 00:00:00;2008-07-26 03:41:44
527;2006-09-12 00:00:00;28;iPod minor update, brighter screen, improved battery, new 80GB US$349;3;2006-09-12 00:00:00;2008-07-26 03:41:44
528;2006-09-12 00:00:00;9;iTunes 7 introduced, movie downloads, iPod games, improved interface;2;2006-09-12 00:00:00;2008-07-26 03:41:44
529;2006-09-12 00:00:00;28;iPod software update 1.2;4;2006-09-12 00:00:00;2008-07-26 03:41:44
530;2006-09-12 00:00:00;15;QuickTime 7.1.3 update available;4;2006-09-12 00:00:00;2008-07-26 03:41:44
531;2006-10-13 00:00:00;43;iPod nano (PRODUCT) RED special edition introduced 4GB;4;2006-10-13 00:00:00;2008-07-26 03:41:44
532;2006-09-22 00:00:00;1;Security Update 2006-005;4;2006-09-22 00:00:00;2008-07-26 03:41:44
533;2006-09-25 00:00:00;44;Aperture 1.5 update released;3;2006-09-25 00:00:00;2008-07-26 03:41:44
534;2006-09-27 00:00:00;21;Final Cut Pro 5.1.2 update available;4;2006-09-27 00:00:00;2008-07-26 03:41:44
535;2006-09-27 00:00:00;9;iTunes 7.0.1 update available;4;2006-09-27 00:00:00;2008-07-26 03:41:44
536;2006-09-28 00:00:00;12;iMovie HD 6.0.3 update available;4;2006-09-28 00:00:00;2008-07-26 03:41:44
537;2006-09-28 00:00:00;17;Keynote 3.0.2 update available;4;2006-09-28 00:00:00;2008-07-26 03:41:44
